
  абонемент  абонент
  премьерный  премьерский
  преобразовательный  преобразовательский
  претерпеть  перетерпеть
  приветный  приветственный
  приглядливый  приглядный
  признанный  признательный
  приметать  примотать
  приметливый  приметный
  приобритательный  приобритательский
  притягательный  притязательный
  приютный  приютский
  проделка  подделка
  продуктивный  продуктовый
  прожигательный  прожигательский
  прозаический  прозаичный
  производный  производственный
  производство  производительность
  произнесение  произношение
  проповеднический  проповедничий
  пророческий  пророчественный
  просветительный  просветительский
  просительный  просительский
  простак  простец
  простацкий  простецкий
  простудливый  простудный
  протрезветь  протрезвить
  псарный  псарский
  психологический  психологичный
  публицистический  публицистичный
  пугливый  пуганый
  пьянеть  пьянить
  работник  рабочий
  разборочный  разборчивый
  разграничить  отграничить
  раздеть  разодеть
  раздражение  раздражительность
  разливочный  разливчатый
  различать  отличать
  различие  отличие
  разместить  поместить
  разместиться  поместиться
  разночинный  разночинский
  раковый  рачий
  раскольнический  раскольничий
  распутица  распутница
  расточительный  расточительский
  расчётливый  расчётный
  реабилитационный  реабилитированный
  реалистический  реалистичный
  ребрастый  ребристый
  ребячий  ребячливый
  редеть  редить
  ремесленнический  ремесленный
  решимость  решительность
  ригористический  ригористичный
  рисковой  рисковый
  рисуночный  рисунчатый
  ритмический  ритмичный
  рогастый  рогатый
  рожать  рождать
  романтический  романтичный
  русский  российский
  рыбак  рыболов
  рыбий  рыбный
  рыболовецкий  рыболовный
  садовнический  садовничий
  самодурный  самодурский
  сапожничий  сапожный
  сатирический  сатиричный
  сборочный  сборчатый
  светить  светлить
  сводный  сводчатый
  сдвоенный  удвоенный
  седельный  седельчатый
  сеточный  сетчатый
  симпатический  симпатичный
  симптоматический  симптоматичный
  синеть  синить
  системный  систематический
  скальпель  скарпель
  складной  складской
  склочнический  склочный
  скобочный  скобчатый
  скотный  скотский
  скрытный  скрытый
  сладкий  сладостный
  сладко  сладостно
  словарный  словесный
  сломанный  сломленный
  слоновий  слоновый
  сметливый  сметный
  снискать  сыскать
  собирательный  собирательский
  собственнический  собственный
  совестливо  совестно
  советник  советчик
  солитер  солитёр
  солярный  соляровый
  сопротивление  сопротивляемость
  соседний  соседский
  сочинительный  сочинительский
  спасательный  спасительный
  спускной  спусковой
  сравнимый  сравнительный
  сталагмит  сталактит
  старательный  старательский
  старый  старинный
  статический  статичный
  стеклеть  стеклить
  стеклянный  стекольный
  стихотворный  стихотворческий
  столовский  столовый
  столярный  столярский
  стрелец  стрелок
  стрелочный  стрелчатый
  строительный  строительский
  стяжательный  стяжательский
  схематический  схематичный
  схоластический  схоластичный
  сценический  сценичный
  съёмный  съёмочный
  сытно  сыто
  сытный  сытый
  тактический  тактичный
  талан  талант
  телевизионник  телевизионщик
  тема  тематика
  темнеть  темнить
  темь  тень
  теоретический  теоретичный
  термальный  термический
  терпимость  терпеливость
  тесёмочный  тесёмчатый
  технический  техничный
  технологический  технологичный
  типический  типичный
  токсический  токсичный
  толстеть  толстить
  трагический  трагичный
  трубочный  трубчатый
  тупеть  тупить
  тюленевый  тюлений
  тягостно  тяжко
  тягостный  тяжкий
  тяготеть  тяготить
  угодливо  угодно
  угодливый  угодный
  удалой  удальской
  удачливо  удачно
  удачливый  удачный
  узорный  узорчатый
  уклонение  отклонение
  уклоняться  отклоняться
  умный  умственный
  униженный  унизительный
  упадочнический  упадочный
  усастый  усатый
  усвоить  освоить
  учредительный  учредительский
  фабрикант  фабрикат
  фазаний  фазановый
  факт  фактор
  фактический  фактичный
  фанатический  фанатичный
  фантазёрство  фантазирование
  фантастический  фантастичный
  феерический  фееричный
  фен  фён
  Финно-  Финско-
  фланелевый  фланельный
  флегматический  флегматичный
  хваткий  хватский
  хвостистский  хвостистый
  хищнический  хищный
  хлебопашенный  хлебопашеский
  хлеборобный  хлеборобский
  хозяйский  хозяйственный
  холодеть  холодить
  холодильник  холодильщик
  холопий  холопский
  художественный  художнический
  царский  царственный
  цвета  цветы
  цветастый  цветистый
  цветной  цветовой
  целый  цельный
  центральный  централизованный
  цепенеть  цепенить
  церковнический  церковничий
  циклический  цикличный
  цинический  циничный
  чародейный  чародейский
  чеканный  чеканочный
  человеческий  человечный
  человечий  человечный
  черви  червы
  червиветь  червить
  черепаховый  черепаший
  черкеска  черкешенка
  чернеть  чернить
  черстветь  черствить
  четырёхрукий  четырёхручный
  чиновницкий  чиновничий
  чубастый  чубатый
  чудацкий  чудаческий
  чудной  чудный
  швейцар  швейцарец
  шелковистый  шелковый
  шершаветь  шершавить
  шествовать  шефствовать
  широкий  широтный
  школьнический  школьный
  шлифовальник  шлифовальщик
  шляпный  шляпочный
  штатный  штатский
  штурмовик  штурмовщик
  шумный  шумовой
  шутливый  шуточный
  экзерсисы  экзерциции
  экологичный  экологический
  экономика  экономия
  экономический  экономичный
  экономный  экономский
  экранизировать  экранировать
  экскаватор  эскалатор
  экспонат  экспонент
  элегический  элегичный
  элитный  элитарный
  энциклопедический  энциклопедичный
  эстетический  эстетичный
  эстетный  эстетский
  этический  этичный
  эфемерный  эфирный
  эффективность  эффектность
  эффективный  эффектный
  ювелирный  ювелирский
  юмореска  юмористка
  юмористика  юмористка
  юмористический  юмористичный
  юродивый  юродливый
  ябедливый  ябедный
  явно  явственно
  явный  явственный
  языковой  языковый
  яловочный  яловый
  яростный  ярый
  ящер  ящур
